order_id,date,Products,region,quantity_sold,unit_price,total_sales
10001,5/8/2024,clothings,south,,$114.58 ,
10002,19-Mar,Home goods,north ,8,$18.16 ,145.28
10003,4/3/2024,sports,west,4,$190.93 ,763.72
10004,4/21/2024,toys,west,5,$166.49 ,832.45
10005,2/18/2024,clothings,west,2,$52.73 ,105.46
10006,3/29/2024,toys,east,8,$177.50 ,1420
10007,3/31/2024,clothings,south,5,$47.88 ,239.4
10008,5/6/2024,toys,north ,4,$68.82 ,275.28
10009,2/24/2024,clothings,south,7,$160.48 ,1123.36
10010,2/19/2024,clothings,north ,7,$42.39 ,296.73
10011,5/4/2024,Electronics,west,2, Thirty ,
10012,5/12/2024,toys,south,10,$96.99 ,969.9
10013,1/2/2024,books,west,9,$81.08 ,729.72
10014,3/31/2024,books,east,8,$33.73 ,269.84
10015,6/16/2024,clothings,east,9,$169.40 ,1524.6
10016,1/25/2024,toys,east,2,$81.03 ,162.06
10017,30-May,clothings,south,4,$146.37 ,585.48
10018,10-Feb,Electronics,north ,4,  ,
10019,17-Feb,toys,east,8,  ,
10020,14-Mar,clothings,north ,8,$190.78 ,1526.24
10021,23-May,Electronics,west,2,$47.83 ,95.66
10022,8-Mar,books,east,7,$40.31 ,282.17
10023,14-Jun,sports,west,3,$107.07 ,321.21
10024,17-Apr,clothings,east,10,$159.13 ,1591.3
10025,2/16/2024,books,south,4,$77.58 ,310.32
10026,1/31/2024,Electronics,north ,2,$94.54 ,189.08
10027,3/14/2024,Electronics,north ,,$118.62 ,
10028,2/20/2024,toys,south,6,$163.13 ,978.78
10029,3/3/2024,Electronics,west,2, Thirty ,
10030,3/22/2024,sports,east,10,$11.36 ,113.6
10031,1/2/2024,Electronics,east,8,$79.43 ,635.44
10032,4/25/2024,Home goods,north ,8,$39.78 ,318.24
10033,3/24/2024,clothings,east,3,$96.98 ,290.94
10034,3/5/2024,clothings,east,7,$85.23 ,596.61
10035,4/17/2024,Home goods,south,2,$15.74 ,31.48
10036,5/19/2024,toys,west,5,$121.34 ,606.7
10037,4/2/2024,sports,west,2,$105.84 ,211.68
10038,6/21/2024,toys,west,8,$67.69 ,541.52
10039,3/24/2024,sports,east,7,$184.78 ,1293.46
10040,4/25/2024,toys,west,6,$20.31 ,121.86
10041,3/16/2024,Home goods,west,3,$94.07 ,282.21
10042,3/25/2024,toys,north ,3,$199.49 ,598.47
10043,6/10/2024,clothings,south,8,$155.81 ,1246.48
10044,5/10/2024,sports,west,8,$188.87 ,1510.96
10045,3/13/2024,clothings,west,1,$159.57 ,159.57
10046,5/16/2024,sports,south,1,$45.85 ,45.85
10047,2/21/2024,Electronics,west,8,$130.27 ,1042.16
10048,5/13/2024,Home goods,east,9,$156.98 ,1412.82
10049,1/29/2024,Electronics,east,7,$114.44 ,801.08
10050,2/9/2024,sports,west,2,$179.22 ,358.44
